201153946,75
201190505,68
201259746,68
201292236,74
201309776,80
201315974,80
201323461,77
201359224,64
201382486,76
201385023,57
201447144,48
201447318,78
201447331,90
201447368,0
201447408,66
201447529,82
201447535,82
201447602,57
201447701,36
201447703,85
201447745,84
201447766,73
201447768,76
201447913,68
201447929,79
201447938,76
201447942,73
201448017,82
201448022,57
201448105,91
201448174,74
201448212,80
201448217,66
201448248,55
201448367,79
201448398,46
201448464,68
201448564,60
201448660,48
201448666,75
201448669,68
201448827,80
201448936,43
201448965,68
201449078,60
201449171,89
